Subject,Topic,Paper Number,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Difficulty,Reference Book
Obstetrics,Placental Abruption,2,What is the most common cause of Placental Abruption in Obstetrics?,Option A related to Placental Abruption,Option B related to Placental Abruption,Option C related to Placental Abruption,Correct option for Placental Abruption,D,This is the correct explanation for the question about Placental Abruption in Obstetrics.,HARD,Robbins Basic Pathology
Pharmacology,Antihypertensives,2,What is the primary indication for Antihypertensives?,Option A related to Antihypertensives,Option B related to Antihypertensives,Option C related to Antihypertensives,Correct option for Antihypertensives,D,This is the correct explanation for the question about Antihypertensives in Pharmacology.,HARD,Forensic Medicine: A Guide to Principles
Physiology,Cardiovascular System,2,What is the primary mechanism of Cardiovascular System in Physiology?,Option A related to Cardiovascular System,Option B related to Cardiovascular System,Option C related to Cardiovascular System,Correct option for Cardiovascular System,D,This is the correct explanation for the question about Cardiovascular System in Physiology.,MEDIUM,Park's Textbook of Preventive and Social Medicine
Forensic Medicine,Forensic Anthropology,1,Which of the following is a key indicator of Forensic Anthropology?,Option A related to Forensic Anthropology,Option B related to Forensic Anthropology,Option C related to Forensic Anthropology,Correct option for Forensic Anthropology,D,This is the correct explanation for the question about Forensic Anthropology in Forensic Medicine.,HARD,Schwartz's Principles of Surgery
Physiology,Cardiovascular System,1,Which hormone plays a crucial role in Cardiovascular System?,Option A related to Cardiovascular System,Option B related to Cardiovascular System,Option C related to Cardiovascular System,Correct option for Cardiovascular System,D,This is the correct explanation for the question about Cardiovascular System in Physiology.,EASY,Goodman & Gilman's Pharmacological Basis of Therapeutics
Pathology,Cervical Cancer,1,What is the primary diagnostic test for Cervical Cancer?,Option A related to Cervical Cancer,Option B related to Cervical Cancer,Option C related to Cervical Cancer,Correct option for Cervical Cancer,D,This is the correct explanation for the question about Cervical Cancer in Pathology.,MEDIUM,Schwartz's Principles of Surgery
Community Medicine,Infectious Disease Control,1,Which factor is most associated with the prevalence of Infectious Disease Control?,Option A related to Infectious Disease Control,Option B related to Infectious Disease Control,Option C related to Infectious Disease Control,Correct option for Infectious Disease Control,D,This is the correct explanation for the question about Infectious Disease Control in Community Medicine.,EASY,Gray's Anatomy
Forensic Medicine,Forensic Pathology,1,Which technique is most commonly used to analyze Forensic Pathology?,Option A related to Forensic Pathology,Option B related to Forensic Pathology,Option C related to Forensic Pathology,Correct option for Forensic Pathology,D,This is the correct explanation for the question about Forensic Pathology in Forensic Medicine.,EASY,Robbins Basic Pathology
Anatomy,Uterine Artery,2,Which of the following is a key feature of Uterine Artery?,Option A related to Uterine Artery,Option B related to Uterine Artery,Option C related to Uterine Artery,Correct option for Uterine Artery,D,This is the correct explanation for the question about Uterine Artery in Anatomy.,EASY,Gray's Anatomy
Microbiology,Antimicrobial Resistance,1,Which of the following is the first-line treatment for Antimicrobial Resistance?,Option A related to Antimicrobial Resistance,Option B related to Antimicrobial Resistance,Option C related to Antimicrobial Resistance,Correct option for Antimicrobial Resistance,D,This is the correct explanation for the question about Antimicrobial Resistance in Microbiology.,EASY,Forensic Medicine: A Guide to Principles
Surgery,Anesthesia,2,Which of the following is a key step in Anesthesia?,Option A related to Anesthesia,Option B related to Anesthesia,Option C related to Anesthesia,Correct option for Anesthesia,D,This is the correct explanation for the question about Anesthesia in Surgery.,EASY,Dewhurst's Textbook of Obstetrics & Gynaecology
Biochemistry,Nucleic Acid Metabolism,2,What is the biochemical significance of Nucleic Acid Metabolism?,Option A related to Nucleic Acid Metabolism,Option B related to Nucleic Acid Metabolism,Option C related to Nucleic Acid Metabolism,Correct option for Nucleic Acid Metabolism,D,This is the correct explanation for the question about Nucleic Acid Metabolism in Biochemistry.,EASY,Lehninger Principles of Biochemistry
Physiology,Prolactin,2,What is the physiological significance of Prolactin in Physiology?,Option A related to Prolactin,Option B related to Prolactin,Option C related to Prolactin,Correct option for Prolactin,D,This is the correct explanation for the question about Prolactin in Physiology.,HARD,Dewhurst's Textbook of Obstetrics & Gynaecology
Forensic Medicine,Forensic Serology,1,What is the legal significance of Forensic Serology in forensic cases?,Option A related to Forensic Serology,Option B related to Forensic Serology,Option C related to Forensic Serology,Correct option for Forensic Serology,D,This is the correct explanation for the question about Forensic Serology in Forensic Medicine.,MEDIUM,Robbins Basic Pathology
Anatomy,Fetal Skull,1,What is the primary function of Fetal Skull in Anatomy?,Option A related to Fetal Skull,Option B related to Fetal Skull,Option C related to Fetal Skull,Correct option for Fetal Skull,D,This is the correct explanation for the question about Fetal Skull in Anatomy.,EASY,Robbins Basic Pathology
Biochemistry,Mineral Metabolism,1,Which enzyme is primarily involved in Mineral Metabolism?,Option A related to Mineral Metabolism,Option B related to Mineral Metabolism,Option C related to Mineral Metabolism,Correct option for Mineral Metabolism,D,This is the correct explanation for the question about Mineral Metabolism in Biochemistry.,MEDIUM,Lehninger Principles of Biochemistry
Forensic Medicine,Death Investigation,2,What is the most common cause of Death Investigation in forensic pathology?,Option A related to Death Investigation,Option B related to Death Investigation,Option C related to Death Investigation,Correct option for Death Investigation,D,This is the correct explanation for the question about Death Investigation in Forensic Medicine.,MEDIUM,Park's Textbook of Preventive and Social Medicine
Community Medicine,Healthcare Systems,1,Which of the following is a key strategy for Healthcare Systems in community medicine?,Option A related to Healthcare Systems,Option B related to Healthcare Systems,Option C related to Healthcare Systems,Correct option for Healthcare Systems,D,This is the correct explanation for the question about Healthcare Systems in Community Medicine.,EASY,Gray's Anatomy
Microbiology,Viral Infections,1,Which diagnostic test is most reliable for detecting Viral Infections?,Option A related to Viral Infections,Option B related to Viral Infections,Option C related to Viral Infections,Correct option for Viral Infections,D,This is the correct explanation for the question about Viral Infections in Microbiology.,HARD,Goodman & Gilman's Pharmacological Basis of Therapeutics
Pharmacology,Antiemetics,1,What is the primary indication for Antiemetics?,Option A related to Antiemetics,Option B related to Antiemetics,Option C related to Antiemetics,Correct option for Antiemetics,D,This is the correct explanation for the question about Antiemetics in Pharmacology.,HARD,Schwartz's Principles of Surgery
Forensic Medicine,Forensic Serology,2,What is the most common cause of Forensic Serology in forensic pathology?,Option A related to Forensic Serology,Option B related to Forensic Serology,Option C related to Forensic Serology,Correct option for Forensic Serology,D,This is the correct explanation for the question about Forensic Serology in Forensic Medicine.,EASY,Park's Textbook of Preventive and Social Medicine
Pathology,Neoplasms,2,What is the most common type of Neoplasms?,Option A related to Neoplasms,Option B related to Neoplasms,Option C related to Neoplasms,Correct option for Neoplasms,D,This is the correct explanation for the question about Neoplasms in Pathology.,EASY,Gray's Anatomy
Physiology,Nervous System,2,Which factor primarily regulates Nervous System in Physiology?,Option A related to Nervous System,Option B related to Nervous System,Option C related to Nervous System,Correct option for Nervous System,D,This is the correct explanation for the question about Nervous System in Physiology.,MEDIUM,Gray's Anatomy
Pharmacology,Antidiabetics,2,Which drug is contraindicated in patients with Antidiabetics?,Option A related to Antidiabetics,Option B related to Antidiabetics,Option C related to Antidiabetics,Correct option for Antidiabetics,D,This is the correct explanation for the question about Antidiabetics in Pharmacology.,HARD,Gray's Anatomy
Physiology,Cardiovascular System,1,What is the physiological significance of Cardiovascular System in Physiology?,Option A related to Cardiovascular System,Option B related to Cardiovascular System,Option C related to Cardiovascular System,Correct option for Cardiovascular System,D,This is the correct explanation for the question about Cardiovascular System in Physiology.,MEDIUM,Dewhurst's Textbook of Obstetrics & Gynaecology
Forensic Medicine,Postmortem Changes,1,What is the most common cause of Postmortem Changes in forensic pathology?,Option A related to Postmortem Changes,Option B related to Postmortem Changes,Option C related to Postmortem Changes,Correct option for Postmortem Changes,D,This is the correct explanation for the question about Postmortem Changes in Forensic Medicine.,MEDIUM,Lehninger Principles of Biochemistry
Biochemistry,Nucleic Acid Metabolism,1,Which disorder is most associated with a deficiency in Nucleic Acid Metabolism?,Option A related to Nucleic Acid Metabolism,Option B related to Nucleic Acid Metabolism,Option C related to Nucleic Acid Metabolism,Correct option for Nucleic Acid Metabolism,D,This is the correct explanation for the question about Nucleic Acid Metabolism in Biochemistry.,EASY,Schwartz's Principles of Surgery
Pathology,Genetic Disorders,1,Which of the following is a risk factor for Genetic Disorders?,Option A related to Genetic Disorders,Option B related to Genetic Disorders,Option C related to Genetic Disorders,Correct option for Genetic Disorders,D,This is the correct explanation for the question about Genetic Disorders in Pathology.,HARD,Forensic Medicine: A Guide to Principles
Surgery,Laparoscopic Surgery,2,What is the primary indication for Laparoscopic Surgery in surgery?,Option A related to Laparoscopic Surgery,Option B related to Laparoscopic Surgery,Option C related to Laparoscopic Surgery,Correct option for Laparoscopic Surgery,D,This is the correct explanation for the question about Laparoscopic Surgery in Surgery.,EASY,Robbins Basic Pathology
Surgery,Anesthesia,1,What is the most common surgical approach for Anesthesia?,Option A related to Anesthesia,Option B related to Anesthesia,Option C related to Anesthesia,Correct option for Anesthesia,D,This is the correct explanation for the question about Anesthesia in Surgery.,EASY,Schwartz's Principles of Surgery
Biochemistry,Enzyme Kinetics,2,Which of the following is a key regulator of Enzyme Kinetics?,Option A related to Enzyme Kinetics,Option B related to Enzyme Kinetics,Option C related to Enzyme Kinetics,Correct option for Enzyme Kinetics,D,This is the correct explanation for the question about Enzyme Kinetics in Biochemistry.,EASY,Lehninger Principles of Biochemistry
Forensic Medicine,Legal Aspects,2,What is the legal significance of Legal Aspects in forensic cases?,Option A related to Legal Aspects,Option B related to Legal Aspects,Option C related to Legal Aspects,Correct option for Legal Aspects,D,This is the correct explanation for the question about Legal Aspects in Forensic Medicine.,EASY,Gray's Anatomy
Surgery,Surgical Instruments,1,Which of the following is a key step in Surgical Instruments?,Option A related to Surgical Instruments,Option B related to Surgical Instruments,Option C related to Surgical Instruments,Correct option for Surgical Instruments,D,This is the correct explanation for the question about Surgical Instruments in Surgery.,MEDIUM,Schwartz's Principles of Surgery
Community Medicine,Maternal and Child Health,2,Which of the following is a key strategy for Maternal and Child Health in community medicine?,Option A related to Maternal and Child Health,Option B related to Maternal and Child Health,Option C related to Maternal and Child Health,Correct option for Maternal and Child Health,D,This is the correct explanation for the question about Maternal and Child Health in Community Medicine.,MEDIUM,Gray's Anatomy
Obstetrics,Labor Stages,1,What is the recommended management for Labor Stages in Obstetrics?,Option A related to Labor Stages,Option B related to Labor Stages,Option C related to Labor Stages,Correct option for Labor Stages,D,This is the correct explanation for the question about Labor Stages in Obstetrics.,HARD,"Jawetz, Melnick, & Adelberg's Medical Microbiology"
Physiology,Endocrine System,2,What is the physiological significance of Endocrine System in Physiology?,Option A related to Endocrine System,Option B related to Endocrine System,Option C related to Endocrine System,Correct option for Endocrine System,D,This is the correct explanation for the question about Endocrine System in Physiology.,HARD,"Jawetz, Melnick, & Adelberg's Medical Microbiology"
Anatomy,Pudendal Nerve,1,What is the anatomical relationship between Pudendal Nerve and Anatomy?,Option A related to Pudendal Nerve,Option B related to Pudendal Nerve,Option C related to Pudendal Nerve,Correct option for Pudendal Nerve,D,This is the correct explanation for the question about Pudendal Nerve in Anatomy.,EASY,Park's Textbook of Preventive and Social Medicine
Anatomy,Amniotic Fluid,1,Which structure is primarily responsible for Amniotic Fluid in Anatomy?,Option A related to Amniotic Fluid,Option B related to Amniotic Fluid,Option C related to Amniotic Fluid,Correct option for Amniotic Fluid,D,This is the correct explanation for the question about Amniotic Fluid in Anatomy.,MEDIUM,Guyton and Hall Textbook of Medical Physiology
Community Medicine,Epidemiology,2,What is the primary goal of Epidemiology in public health?,Option A related to Epidemiology,Option B related to Epidemiology,Option C related to Epidemiology,Correct option for Epidemiology,D,This is the correct explanation for the question about Epidemiology in Community Medicine.,HARD,Park's Textbook of Preventive and Social Medicine
Pharmacology,Antiemetics,1,Which drug is most effective for treating Antiemetics?,Option A related to Antiemetics,Option B related to Antiemetics,Option C related to Antiemetics,Correct option for Antiemetics,D,This is the correct explanation for the question about Antiemetics in Pharmacology.,MEDIUM,Gray's Anatomy
Anatomy,Fetal Skull,1,Where is the Fetal Skull located in relation to Anatomy?,Option A related to Fetal Skull,Option B related to Fetal Skull,Option C related to Fetal Skull,Correct option for Fetal Skull,D,This is the correct explanation for the question about Fetal Skull in Anatomy.,EASY,Robbins Basic Pathology
Pharmacology,Analgesics,1,Which of the following is a common side effect of Analgesics?,Option A related to Analgesics,Option B related to Analgesics,Option C related to Analgesics,Correct option for Analgesics,D,This is the correct explanation for the question about Analgesics in Pharmacology.,EASY,Schwartz's Principles of Surgery
Pharmacology,Anticoagulants,1,Which drug is contraindicated in patients with Anticoagulants?,Option A related to Anticoagulants,Option B related to Anticoagulants,Option C related to Anticoagulants,Correct option for Anticoagulants,D,This is the correct explanation for the question about Anticoagulants in Pharmacology.,HARD,Park's Textbook of Preventive and Social Medicine
Pharmacology,Antidiabetics,2,Which of the following is a common side effect of Antidiabetics?,Option A related to Antidiabetics,Option B related to Antidiabetics,Option C related to Antidiabetics,Correct option for Antidiabetics,D,This is the correct explanation for the question about Antidiabetics in Pharmacology.,MEDIUM,"Jawetz, Melnick, & Adelberg's Medical Microbiology"
Community Medicine,Epidemiology,1,Which factor is most associated with the prevalence of Epidemiology?,Option A related to Epidemiology,Option B related to Epidemiology,Option C related to Epidemiology,Correct option for Epidemiology,D,This is the correct explanation for the question about Epidemiology in Community Medicine.,EASY,"Jawetz, Melnick, & Adelberg's Medical Microbiology"
Biochemistry,Genetic Biochemistry,1,What is the main metabolic pathway for Genetic Biochemistry?,Option A related to Genetic Biochemistry,Option B related to Genetic Biochemistry,Option C related to Genetic Biochemistry,Correct option for Genetic Biochemistry,D,This is the correct explanation for the question about Genetic Biochemistry in Biochemistry.,EASY,Schwartz's Principles of Surgery
Pharmacology,Anticonvulsants,1,Which drug is contraindicated in patients with Anticonvulsants?,Option A related to Anticonvulsants,Option B related to Anticonvulsants,Option C related to Anticonvulsants,Correct option for Anticonvulsants,D,This is the correct explanation for the question about Anticonvulsants in Pharmacology.,EASY,Gray's Anatomy
Pharmacology,Analgesics,2,Which drug is most effective for treating Analgesics?,Option A related to Analgesics,Option B related to Analgesics,Option C related to Analgesics,Correct option for Analgesics,D,This is the correct explanation for the question about Analgesics in Pharmacology.,EASY,Dewhurst's Textbook of Obstetrics & Gynaecology
Physiology,Respiratory System,2,What is the primary mechanism of Respiratory System in Physiology?,Option A related to Respiratory System,Option B related to Respiratory System,Option C related to Respiratory System,Correct option for Respiratory System,D,This is the correct explanation for the question about Respiratory System in Physiology.,EASY,Park's Textbook of Preventive and Social Medicine
Forensic Medicine,Death Investigation,2,Which technique is most commonly used to analyze Death Investigation?,Option A related to Death Investigation,Option B related to Death Investigation,Option C related to Death Investigation,Correct option for Death Investigation,D,This is the correct explanation for the question about Death Investigation in Forensic Medicine.,MEDIUM,Robbins Basic Pathology
Surgery,Surgical Techniques,2,What is the primary indication for Surgical Techniques in surgery?,Option A related to Surgical Techniques,Option B related to Surgical Techniques,Option C related to Surgical Techniques,Correct option for Surgical Techniques,D,This is the correct explanation for the question about Surgical Techniques in Surgery.,MEDIUM,Dewhurst's Textbook of Obstetrics & Gynaecology
Biochemistry,Genetic Biochemistry,2,Which disorder is most associated with a deficiency in Genetic Biochemistry?,Option A related to Genetic Biochemistry,Option B related to Genetic Biochemistry,Option C related to Genetic Biochemistry,Correct option for Genetic Biochemistry,D,This is the correct explanation for the question about Genetic Biochemistry in Biochemistry.,EASY,"Jawetz, Melnick, & Adelberg's Medical Microbiology"
Physiology,Gastrointestinal System,1,Which of the following best describes the process of Gastrointestinal System?,Option A related to Gastrointestinal System,Option B related to Gastrointestinal System,Option C related to Gastrointestinal System,Correct option for Gastrointestinal System,D,This is the correct explanation for the question about Gastrointestinal System in Physiology.,EASY,Park's Textbook of Preventive and Social Medicine
Obstetrics,Third Stage of Labor,1,Which complication is most associated with Third Stage of Labor?,Option A related to Third Stage of Labor,Option B related to Third Stage of Labor,Option C related to Third Stage of Labor,Correct option for Third Stage of Labor,D,This is the correct explanation for the question about Third Stage of Labor in Obstetrics.,HARD,Goodman & Gilman's Pharmacological Basis of Therapeutics
Community Medicine,Non-Communicable Diseases,1,Which factor is most associated with the prevalence of Non-Communicable Diseases?,Option A related to Non-Communicable Diseases,Option B related to Non-Communicable Diseases,Option C related to Non-Communicable Diseases,Correct option for Non-Communicable Diseases,D,This is the correct explanation for the question about Non-Communicable Diseases in Community Medicine.,EASY,Robbins Basic Pathology
Microbiology,Parasitic Infections,1,What is the primary mode of transmission for Parasitic Infections?,Option A related to Parasitic Infections,Option B related to Parasitic Infections,Option C related to Parasitic Infections,Correct option for Parasitic Infections,D,This is the correct explanation for the question about Parasitic Infections in Microbiology.,EASY,"Jawetz, Melnick, & Adelberg's Medical Microbiology"
Community Medicine,Environmental Health,1,What is the recommended intervention for Environmental Health in community settings?,Option A related to Environmental Health,Option B related to Environmental Health,Option C related to Environmental Health,Correct option for Environmental Health,D,This is the correct explanation for the question about Environmental Health in Community Medicine.,HARD,Goodman & Gilman's Pharmacological Basis of Therapeutics
Microbiology,Parasitic Infections,1,Which of the following is the first-line treatment for Parasitic Infections?,Option A related to Parasitic Infections,Option B related to Parasitic Infections,Option C related to Parasitic Infections,Correct option for Parasitic Infections,D,This is the correct explanation for the question about Parasitic Infections in Microbiology.,EASY,Schwartz's Principles of Surgery
Microbiology,Infection Control,1,What is the primary mode of transmission for Infection Control?,Option A related to Infection Control,Option B related to Infection Control,Option C related to Infection Control,Correct option for Infection Control,D,This is the correct explanation for the question about Infection Control in Microbiology.,EASY,Dewhurst's Textbook of Obstetrics & Gynaecology
Anatomy,Perineal Muscles,1,Which structure is primarily responsible for Perineal Muscles in Anatomy?,Option A related to Perineal Muscles,Option B related to Perineal Muscles,Option C related to Perineal Muscles,Correct option for Perineal Muscles,D,This is the correct explanation for the question about Perineal Muscles in Anatomy.,HARD,"Jawetz, Melnick, & Adelberg's Medical Microbiology"
Forensic Medicine,DNA Analysis,1,What is the primary method for determining DNA Analysis in forensic medicine?,Option A related to DNA Analysis,Option B related to DNA Analysis,Option C related to DNA Analysis,Correct option for DNA Analysis,D,This is the correct explanation for the question about DNA Analysis in Forensic Medicine.,HARD,Dewhurst's Textbook of Obstetrics & Gynaecology
Obstetrics,Labor Stages,1,What is the most common cause of Labor Stages in Obstetrics?,Option A related to Labor Stages,Option B related to Labor Stages,Option C related to Labor Stages,Correct option for Labor Stages,D,This is the correct explanation for the question about Labor Stages in Obstetrics.,HARD,Lehninger Principles of Biochemistry
Microbiology,Bacterial Infections,2,Which of the following is the first-line treatment for Bacterial Infections?,Option A related to Bacterial Infections,Option B related to Bacterial Infections,Option C related to Bacterial Infections,Correct option for Bacterial Infections,D,This is the correct explanation for the question about Bacterial Infections in Microbiology.,EASY,Goodman & Gilman's Pharmacological Basis of Therapeutics
Pathology,Breast Cancer,2,What is the most common type of Breast Cancer?,Option A related to Breast Cancer,Option B related to Breast Cancer,Option C related to Breast Cancer,Correct option for Breast Cancer,D,This is the correct explanation for the question about Breast Cancer in Pathology.,MEDIUM,Forensic Medicine: A Guide to Principles
Surgery,Wound Healing,2,Which of the following is a key step in Wound Healing?,Option A related to Wound Healing,Option B related to Wound Healing,Option C related to Wound Healing,Correct option for Wound Healing,D,This is the correct explanation for the question about Wound Healing in Surgery.,EASY,Guyton and Hall Textbook of Medical Physiology
Forensic Medicine,Forensic Anthropology,1,What is the most common cause of Forensic Anthropology in forensic pathology?,Option A related to Forensic Anthropology,Option B related to Forensic Anthropology,Option C related to Forensic Anthropology,Correct option for Forensic Anthropology,D,This is the correct explanation for the question about Forensic Anthropology in Forensic Medicine.,HARD,Gray's Anatomy
Forensic Medicine,Forensic Serology,1,Which technique is most commonly used to analyze Forensic Serology?,Option A related to Forensic Serology,Option B related to Forensic Serology,Option C related to Forensic Serology,Correct option for Forensic Serology,D,This is the correct explanation for the question about Forensic Serology in Forensic Medicine.,MEDIUM,Guyton and Hall Textbook of Medical Physiology
Microbiology,Microbiome,1,What is the primary mode of transmission for Microbiome?,Option A related to Microbiome,Option B related to Microbiome,Option C related to Microbiome,Correct option for Microbiome,D,This is the correct explanation for the question about Microbiome in Microbiology.,MEDIUM,Goodman & Gilman's Pharmacological Basis of Therapeutics
Physiology,Respiratory System,2,What is the physiological significance of Respiratory System in Physiology?,Option A related to Respiratory System,Option B related to Respiratory System,Option C related to Respiratory System,Correct option for Respiratory System,D,This is the correct explanation for the question about Respiratory System in Physiology.,EASY,Gray's Anatomy
Pharmacology,Anticonvulsants,1,What is the mechanism of action of Anticonvulsants?,Option A related to Anticonvulsants,Option B related to Anticonvulsants,Option C related to Anticonvulsants,Correct option for Anticonvulsants,D,This is the correct explanation for the question about Anticonvulsants in Pharmacology.,MEDIUM,Schwartz's Principles of Surgery
Community Medicine,Non-Communicable Diseases,2,Which of the following is a key strategy for Non-Communicable Diseases in community medicine?,Option A related to Non-Communicable Diseases,Option B related to Non-Communicable Diseases,Option C related to Non-Communicable Diseases,Correct option for Non-Communicable Diseases,D,This is the correct explanation for the question about Non-Communicable Diseases in Community Medicine.,MEDIUM,Park's Textbook of Preventive and Social Medicine
Pharmacology,Anticoagulants,1,Which drug is most effective for treating Anticoagulants?,Option A related to Anticoagulants,Option B related to Anticoagulants,Option C related to Anticoagulants,Correct option for Anticoagulants,D,This is the correct explanation for the question about Anticoagulants in Pharmacology.,EASY,Gray's Anatomy
Pharmacology,Anticoagulants,1,What is the primary indication for Anticoagulants?,Option A related to Anticoagulants,Option B related to Anticoagulants,Option C related to Anticoagulants,Correct option for Anticoagulants,D,This is the correct explanation for the question about Anticoagulants in Pharmacology.,MEDIUM,Forensic Medicine: A Guide to Principles
Community Medicine,Disease Prevention,2,What is the recommended intervention for Disease Prevention in community settings?,Option A related to Disease Prevention,Option B related to Disease Prevention,Option C related to Disease Prevention,Correct option for Disease Prevention,D,This is the correct explanation for the question about Disease Prevention in Community Medicine.,HARD,"Jawetz, Melnick, & Adelberg's Medical Microbiology"
Community Medicine,Health Education,1,What is the primary goal of Health Education in public health?,Option A related to Health Education,Option B related to Health Education,Option C related to Health Education,Correct option for Health Education,D,This is the correct explanation for the question about Health Education in Community Medicine.,EASY,Gray's Anatomy
Microbiology,Pathogenic Mechanisms,2,Which diagnostic test is most reliable for detecting Pathogenic Mechanisms?,Option A related to Pathogenic Mechanisms,Option B related to Pathogenic Mechanisms,Option C related to Pathogenic Mechanisms,Correct option for Pathogenic Mechanisms,D,This is the correct explanation for the question about Pathogenic Mechanisms in Microbiology.,MEDIUM,Goodman & Gilman's Pharmacological Basis of Therapeutics
Community Medicine,Healthcare Systems,1,What is the primary goal of Healthcare Systems in public health?,Option A related to Healthcare Systems,Option B related to Healthcare Systems,Option C related to Healthcare Systems,Correct option for Healthcare Systems,D,This is the correct explanation for the question about Healthcare Systems in Community Medicine.,EASY,Park's Textbook of Preventive and Social Medicine
Community Medicine,Public Health Policies,1,Which of the following is a key strategy for Public Health Policies in community medicine?,Option A related to Public Health Policies,Option B related to Public Health Policies,Option C related to Public Health Policies,Correct option for Public Health Policies,D,This is the correct explanation for the question about Public Health Policies in Community Medicine.,EASY,Schwartz's Principles of Surgery
Surgery,Trauma Management,1,Which complication is most associated with Trauma Management?,Option A related to Trauma Management,Option B related to Trauma Management,Option C related to Trauma Management,Correct option for Trauma Management,D,This is the correct explanation for the question about Trauma Management in Surgery.,HARD,Dewhurst's Textbook of Obstetrics & Gynaecology
Surgery,Trauma Management,2,What is the primary indication for Trauma Management in surgery?,Option A related to Trauma Management,Option B related to Trauma Management,Option C related to Trauma Management,Correct option for Trauma Management,D,This is the correct explanation for the question about Trauma Management in Surgery.,MEDIUM,Goodman & Gilman's Pharmacological Basis of Therapeutics
Pathology,Autoimmune Diseases,1,What is the most common type of Autoimmune Diseases?,Option A related to Autoimmune Diseases,Option B related to Autoimmune Diseases,Option C related to Autoimmune Diseases,Correct option for Autoimmune Diseases,D,This is the correct explanation for the question about Autoimmune Diseases in Pathology.,HARD,Dewhurst's Textbook of Obstetrics & Gynaecology
Biochemistry,Vitamin Biochemistry,1,What is the main metabolic pathway for Vitamin Biochemistry?,Option A related to Vitamin Biochemistry,Option B related to Vitamin Biochemistry,Option C related to Vitamin Biochemistry,Correct option for Vitamin Biochemistry,D,This is the correct explanation for the question about Vitamin Biochemistry in Biochemistry.,EASY,Dewhurst's Textbook of Obstetrics & Gynaecology
Microbiology,Diagnostic Microbiology,2,Which of the following is the first-line treatment for Diagnostic Microbiology?,Option A related to Diagnostic Microbiology,Option B related to Diagnostic Microbiology,Option C related to Diagnostic Microbiology,Correct option for Diagnostic Microbiology,D,This is the correct explanation for the question about Diagnostic Microbiology in Microbiology.,MEDIUM,Gray's Anatomy
Microbiology,Epidemiology of Infections,2,Which diagnostic test is most reliable for detecting Epidemiology of Infections?,Option A related to Epidemiology of Infections,Option B related to Epidemiology of Infections,Option C related to Epidemiology of Infections,Correct option for Epidemiology of Infections,D,This is the correct explanation for the question about Epidemiology of Infections in Microbiology.,EASY,"Jawetz, Melnick, & Adelberg's Medical Microbiology"
Forensic Medicine,DNA Analysis,2,Which of the following is a key indicator of DNA Analysis?,Option A related to DNA Analysis,Option B related to DNA Analysis,Option C related to DNA Analysis,Correct option for DNA Analysis,D,This is the correct explanation for the question about DNA Analysis in Forensic Medicine.,EASY,Forensic Medicine: A Guide to Principles
Community Medicine,Infectious Disease Control,1,What is the primary goal of Infectious Disease Control in public health?,Option A related to Infectious Disease Control,Option B related to Infectious Disease Control,Option C related to Infectious Disease Control,Correct option for Infectious Disease Control,D,This is the correct explanation for the question about Infectious Disease Control in Community Medicine.,MEDIUM,Lehninger Principles of Biochemistry
Forensic Medicine,Postmortem Changes,2,What is the primary method for determining Postmortem Changes in forensic medicine?,Option A related to Postmortem Changes,Option B related to Postmortem Changes,Option C related to Postmortem Changes,Correct option for Postmortem Changes,D,This is the correct explanation for the question about Postmortem Changes in Forensic Medicine.,MEDIUM,Dewhurst's Textbook of Obstetrics & Gynaecology
Obstetrics,Multiple Pregnancies,1,Which complication is most associated with Multiple Pregnancies?,Option A related to Multiple Pregnancies,Option B related to Multiple Pregnancies,Option C related to Multiple Pregnancies,Correct option for Multiple Pregnancies,D,This is the correct explanation for the question about Multiple Pregnancies in Obstetrics.,MEDIUM,Robbins Basic Pathology
Forensic Medicine,Forensic Anthropology,1,What is the primary method for determining Forensic Anthropology in forensic medicine?,Option A related to Forensic Anthropology,Option B related to Forensic Anthropology,Option C related to Forensic Anthropology,Correct option for Forensic Anthropology,D,This is the correct explanation for the question about Forensic Anthropology in Forensic Medicine.,EASY,Dewhurst's Textbook of Obstetrics & Gynaecology
Physiology,Fetal Circulation,1,Which factor primarily regulates Fetal Circulation in Physiology?,Option A related to Fetal Circulation,Option B related to Fetal Circulation,Option C related to Fetal Circulation,Correct option for Fetal Circulation,D,This is the correct explanation for the question about Fetal Circulation in Physiology.,HARD,Goodman & Gilman's Pharmacological Basis of Therapeutics
Microbiology,Epidemiology of Infections,1,Which of the following is the first-line treatment for Epidemiology of Infections?,Option A related to Epidemiology of Infections,Option B related to Epidemiology of Infections,Option C related to Epidemiology of Infections,Correct option for Epidemiology of Infections,D,This is the correct explanation for the question about Epidemiology of Infections in Microbiology.,EASY,Schwartz's Principles of Surgery
Physiology,Cardiovascular System,2,Which factor primarily regulates Cardiovascular System in Physiology?,Option A related to Cardiovascular System,Option B related to Cardiovascular System,Option C related to Cardiovascular System,Correct option for Cardiovascular System,D,This is the correct explanation for the question about Cardiovascular System in Physiology.,EASY,Dewhurst's Textbook of Obstetrics & Gynaecology
Anatomy,Pelvic Diaphragm,2,What is the anatomical relationship between Pelvic Diaphragm and Anatomy?,Option A related to Pelvic Diaphragm,Option B related to Pelvic Diaphragm,Option C related to Pelvic Diaphragm,Correct option for Pelvic Diaphragm,D,This is the correct explanation for the question about Pelvic Diaphragm in Anatomy.,HARD,"Jawetz, Melnick, & Adelberg's Medical Microbiology"
